model_label,feature_label,coder1,coder2,resolved,mean_individual,human_kappa
GPT-OSS 120B,Synchronous Marching,0.33467028429869045,0.2973403339645375,0.38794791046046434,0.31600530913161395,0.36708860759493595
GPT-OSS 120B,Synchronous Praying,0.21281090460981328,0.2022646106143239,0.21281090460981328,0.2075377576120686,0.6473747016706443
GPT-OSS 120B,Synchronous Singing,0.6339208363363693,0.618815592203898,0.6311742473608758,0.6263682142701337,0.919684443041969
Llama 3.2 Instruct (3B),Synchronous Chanting,0.011163693726489477,0.003359289189505415,0.010529027272434594,0.007261491457997446,0.46441029508814935
Llama 3.2 Instruct (3B),Synchronous Dancing,-0.002671886165221947,-0.0022545112414901185,-0.004410393764876852,-0.002463198703356033,0.7919979068971763
Llama 3.2 Instruct (3B),Synchronous Generic Movement,0.0022243287126110386,-0.005045537477381398,6.754057582459435e-4,-0.00141060438238518,0.24794877570063395
Llama 3.2 Instruct (3B),Synchronous Marching,0.001182888004163767,7.976548946098408e-4,8.293909616290615e-4,9.902714493868038e-4,0.36708860759493595
Llama 3.2 Instruct (3B),Synchronous Praying,9.246169716883611e-4,-9.846375736311333e-4,9.246169716883611e-4,-3.001030097138607e-5,0.6473747016706443
Llama 3.2 Instruct (3B),Synchronous Singing,-0.007206119542354852,-0.008130999435347211,-0.007174180462565653,-0.007668559488851032,0.919684443041969
Perplexity Sonar,Synchronous Chanting,0.041424933319268734,0.005160287546143313,0.05106441339164615,0.023292610432706022,0.46441029508814935
Perplexity Sonar,Synchronous Dancing,0.19968384155421673,0.24812927998065004,0.21469026810404737,0.22390656076743337,0.7919979068971763
Perplexity Sonar,Synchronous Generic Movement,0.003617190852798753,0.10998633710098107,0.03891050583657604,0.056801763976889914,0.24794877570063395
Perplexity Sonar,Synchronous Marching,0.09117878752325562,0.11646361909019771,0.12915730744148973,0.10382120330672667,0.36708860759493595
Perplexity Sonar,Synchronous Praying,0.15048268029528677,0.13542538861989864,0.15048268029528677,0.1429540344575927,0.6473747016706443
Perplexity Sonar,Synchronous Singing,0.22554347826086973,0.22574508560558057,0.22430102398450646,0.22564428193322517,0.919684443041969
Qwen 3 Instruct (4B),Synchronous Chanting,0.15080212295710477,0.1685967884845563,0.22063699692756977,0.15969945572083055,0.46441029508814935
Qwen 3 Instruct (4B),Synchronous Dancing,0.59020746641744,0.5778405019231615,0.6125035847433323,0.5840239841703008,0.7919979068971763
Qwen 3 Instruct (4B),Synchronous Generic Movement,0.07731902969368241,0.09711587544665645,0.09282546221698032,0.08721745257016944,0.24794877570063395
Qwen 3 Instruct (4B),Synchronous Marching,0.1450109022946735,0.14816945829604042,0.15654830087819763,0.14659018029535698,0.36708860759493595
Qwen 3 Instruct (4B),Synchronous Praying,0.17687683143254138,0.12010682642032101,0.17687683143254138,0.1484918289264312,0.6473747016706443
Qwen 3 Instruct (4B),Synchronous Singing,0.44092297543416836,0.4386384544618214,0.43890453945726204,0.43978071494799487,0.919684443041969
