feature,model1,model2,model1_label,model2_label,kappa,agreement,n,human_kappa,human_agreement,feature_label
marching,claudesonnet45,llama33b,Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.009037997444754716,0.3462897526501767,566,0.36708860759493595,0.935,Synchronous Marching
marching,claudesonnet45,qwen3,Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.46774264094825707,0.7720848056537103,566,0.36708860759493595,0.935,Synchronous Marching
marching,claudesonnet45,perplexity,Claude Sonnet 4.5,Perplexity Sonar,0.11471062089478241,0.6595365418894831,561,0.36708860759493595,0.935,Synchronous Marching
marching,deepseekv31671b,gptoss120b,DeepSeek V3.1,GPT-OSS 120B,0.5210780926053905,0.9223985890652557,567,0.36708860759493595,0.935,Synchronous Marching
marching,deepseekv31671b,gpt5nano,DeepSeek V3.1,GPT-5 Nano,0.3931835020992837,0.8624338624338624,567,0.36708860759493595,0.935,Synchronous Marching
marching,deepseekv31671b,llama33b,DeepSeek V3.1,Llama 3.2 Instruct (3B),0.0012056181807221572,0.07231040564373897,567,0.36708860759493595,0.935,Synchronous Marching
marching,deepseekv31671b,qwen3,DeepSeek V3.1,Qwen 3 Instruct (4B),0.2526008395692645,0.7707231040564374,567,0.36708860759493595,0.935,Synchronous Marching
marching,deepseekv31671b,perplexity,DeepSeek V3.1,Perplexity Sonar,0.21856584784479913,0.8505338078291815,562,0.36708860759493595,0.935,Synchronous Marching
marching,gptoss120b,gpt5nano,GPT-OSS 120B,GPT-5 Nano,0.5892395740262248,0.8941798941798942,567,0.36708860759493595,0.935,Synchronous Marching
marching,gptoss120b,llama33b,GPT-OSS 120B,Llama 3.2 Instruct (3B),0.002261436153297109,0.12169312169312169,567,0.36708860759493595,0.935,Synchronous Marching
marching,gptoss120b,qwen3,GPT-OSS 120B,Qwen 3 Instruct (4B),0.34525319451017505,0.7848324514991182,567,0.36708860759493595,0.935,Synchronous Marching
marching,gptoss120b,perplexity,GPT-OSS 120B,Perplexity Sonar,0.18318519760746843,0.8149466192170819,562,0.36708860759493595,0.935,Synchronous Marching
marching,gpt5nano,llama33b,GPT-5 Nano,Llama 3.2 Instruct (3B),0.004083016193396311,0.19576719576719576,567,0.36708860759493595,0.935,Synchronous Marching
marching,gpt5nano,qwen3,GPT-5 Nano,Qwen 3 Instruct (4B),0.41441751583585784,0.7883597883597884,567,0.36708860759493595,0.935,Synchronous Marching
marching,gpt5nano,perplexity,GPT-5 Nano,Perplexity Sonar,0.18506434656516216,0.7722419928825622,562,0.36708860759493595,0.935,Synchronous Marching
marching,llama33b,qwen3,Llama 3.2 Instruct (3B),Qwen 3 Instruct (4B),0.006850265339391652,0.2874779541446208,567,0.36708860759493595,0.935,Synchronous Marching
marching,llama33b,perplexity,Llama 3.2 Instruct (3B),Perplexity Sonar,-0.0011353026851402012,0.1512455516014235,562,0.36708860759493595,0.935,Synchronous Marching
marching,qwen3,perplexity,Qwen 3 Instruct (4B),Perplexity Sonar,0.18730772773325965,0.7206405693950177,562,0.36708860759493595,0.935,Synchronous Marching
dancing,claudesonnet45,deepseekv31671b,Claude Sonnet 4.5,DeepSeek V3.1,0.4494163424124514,0.7915194346289752,566,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,claudesonnet45,gptoss120b,Claude Sonnet 4.5,GPT-OSS 120B,0.7705543210617981,0.9045936395759717,566,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,claudesonnet45,gpt5nano,Claude Sonnet 4.5,GPT-5 Nano,0.6436206155169235,0.8551236749116607,566,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,claudesonnet45,llama33b,Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.018185284025924564,0.3568904593639576,566,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,claudesonnet45,qwen3,Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.7733168449009991,0.8992932862190812,566,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,claudesonnet45,perplexity,Claude Sonnet 4.5,Perplexity Sonar,0.2284236083010578,0.6619217081850534,562,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,deepseekv31671b,gptoss120b,DeepSeek V3.1,GPT-OSS 120B,0.5340348767288033,0.855379188712522,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,deepseekv31671b,gpt5nano,DeepSeek V3.1,GPT-5 Nano,0.5857578752847136,0.8800705467372134,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,deepseekv31671b,llama33b,DeepSeek V3.1,Llama 3.2 Instruct (3B),0.008679492865442206,0.15873015873015872,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,deepseekv31671b,qwen3,DeepSeek V3.1,Qwen 3 Instruct (4B),0.42975289042564685,0.7865961199294532,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,deepseekv31671b,perplexity,DeepSeek V3.1,Perplexity Sonar,0.16895651186556157,0.6998223801065719,563,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gptoss120b,gpt5nano,GPT-OSS 120B,GPT-5 Nano,0.6809790062242854,0.8871252204585538,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gptoss120b,llama33b,GPT-OSS 120B,Llama 3.2 Instruct (3B),0.009003005193074265,0.26455026455026454,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gptoss120b,qwen3,GPT-OSS 120B,Qwen 3 Instruct (4B),0.6623549897107709,0.8606701940035273,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gptoss120b,perplexity,GPT-OSS 120B,Perplexity Sonar,0.23337820071370433,0.6909413854351687,563,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gpt5nano,llama33b,GPT-5 Nano,Llama 3.2 Instruct (3B),0.011207904607379424,0.23985890652557318,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gpt5nano,qwen3,GPT-5 Nano,Qwen 3 Instruct (4B),0.5580397453212423,0.8218694885361552,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,gpt5nano,perplexity,GPT-5 Nano,Perplexity Sonar,0.2545679230293934,0.7069271758436945,563,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,llama33b,qwen3,Llama 3.2 Instruct (3B),Qwen 3 Instruct (4B),0.017497598553481562,0.3509700176366843,567,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,llama33b,perplexity,Llama 3.2 Instruct (3B),Perplexity Sonar,-0.026237150649168955,0.30550621669627,563,0.7919979068971763,0.9094017094017094,Synchronous Dancing
dancing,qwen3,perplexity,Qwen 3 Instruct (4B),Perplexity Sonar,0.24592573286129019,0.6714031971580817,563,0.7919979068971763,0.9094017094017094,Synchronous Dancing
generic_mvmt,claudesonnet45,deepseekv31671b,Claude Sonnet 4.5,DeepSeek V3.1,0.10199456029011796,0.5053003533568905,566,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,claudesonnet45,gptoss120b,Claude Sonnet 4.5,GPT-OSS 120B,0.2221577928027185,0.5812720848056537,566,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,claudesonnet45,gpt5nano,Claude Sonnet 4.5,GPT-5 Nano,0.3454746005954004,0.6554770318021201,566,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,claudesonnet45,llama33b,Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.014298808432630554,0.5636042402826855,566,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,claudesonnet45,qwen3,Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.4753861997940267,0.7455830388692579,566,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,claudesonnet45,perplexity,Claude Sonnet 4.5,Perplexity Sonar,0.15449800429843408,0.5640569395017794,562,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,deepseekv31671b,gptoss120b,DeepSeek V3.1,GPT-OSS 120B,0.19378427787934197,0.8271604938271605,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,deepseekv31671b,gpt5nano,DeepSeek V3.1,GPT-5 Nano,0.2450221238938053,0.7707231040564374,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,deepseekv31671b,llama33b,DeepSeek V3.1,Llama 3.2 Instruct (3B),0.0012056181807221572,0.07231040564373897,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,deepseekv31671b,qwen3,DeepSeek V3.1,Qwen 3 Instruct (4B),0.07670182166826466,0.43386243386243384,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,deepseekv31671b,perplexity,DeepSeek V3.1,Perplexity Sonar,0.0837318984987377,0.6518650088809946,563,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gptoss120b,gpt5nano,GPT-OSS 120B,GPT-5 Nano,0.5001851166234728,0.8236331569664903,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gptoss120b,llama33b,GPT-OSS 120B,Llama 3.2 Instruct (3B),0.0037111653059060576,0.18165784832451498,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gptoss120b,qwen3,GPT-OSS 120B,Qwen 3 Instruct (4B),0.1646375516586619,0.5114638447971781,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gptoss120b,perplexity,GPT-OSS 120B,Perplexity Sonar,0.038879746543424146,0.605683836589698,563,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gpt5nano,llama33b,GPT-5 Nano,Llama 3.2 Instruct (3B),0.006731043052786827,0.2839506172839506,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gpt5nano,qwen3,GPT-5 Nano,Qwen 3 Instruct (4B),0.27027027027027023,0.5925925925925926,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,gpt5nano,perplexity,GPT-5 Nano,Perplexity Sonar,0.13342252143391475,0.6198934280639432,563,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,llama33b,qwen3,Llama 3.2 Instruct (3B),Qwen 3 Instruct (4B),0.010867659947414406,0.6313932980599647,567,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,llama33b,perplexity,Llama 3.2 Instruct (3B),Perplexity Sonar,-0.0010529348074420836,0.3641207815275311,563,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
generic_mvmt,qwen3,perplexity,Qwen 3 Instruct (4B),Perplexity Sonar,0.09357952903572044,0.5150976909413855,563,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement
