No.,ritual_number,author,date,ethnography_title,culture,ritual_name
245,Ritual241,R. Linton,1923,Annual ceremony of the Pawnee medicine man,Pawnee,Annual Ceremony of the Medicine Men: Preparation 1
246,Ritual242,R. Linton,1923,Annual ceremony of the Pawnee medicine man,Pawnee,
247,Ritual243,R. Linton,1923,Annual ceremony of the Pawnee medicine man,Pawnee,
248,Ritual244,R. Linton,1923,Annual ceremony of the Pawnee medicine man,Pawnee,
249,Ritual245,R. Linton,1923,Annual ceremony of the Pawnee medicine man,Pawnee,
250,Ritual246,E. Beaglehole,1970,Hopi hunting and ritual,Hopi,Hunting Initiation
251,Ritual247,E. Beaglehole,1935,Hopi of the second mesa,Hopi,Funeral
252,Ritual248,B. Harvey,1970,Ritual in Pueblo art: Hopi life in Hopi painting,Hopi,Chief's Ritual Smoking for Fair Weather
253,Ritual249,H. R. Voth,1905,Oraibi natal customs and ceremonies,Hopi,Naming Ritual
254,Ritual250,M. Titiev,1971,Old Oraibi: a study of the Hopi Indians of the Third Mesa,Hopi,The Momtcit Ceremony
255,Ritual251,H. R. Voth,,Brief miscellaneous Hopi papers,Hopi,
256,Ritual252,H. R. Voth,1903,The Oráibi Oáqöl ceremony,Hopi,Kúivato
257,Ritual253,M. Chapin,1997,Curing among the San Blas Kuna of Panama,Kuna,Nia Ikar
258,Ritual254,M. Chapin,1997,Curing among the San Blas Kuna of Panama,Kuna,"Conversing, Apsoket"
259,Ritual255,J. Sherzer,1983,Kuna ways of speaking: an ethnographic perspective,Kuna,"Girls' puberty rites, Inna rites"
260,Ritual256a,L. C. Hamilton,,The E-Unoto ceremony of the Masai,Kuna,The Day of the Red Dance
261,Ritual256b,P. Spencer,1988,The Maasai of Matapato: a study of rituals of rebellion,Maasai,
262,Ritual257,L. C. Hamilton,,The E-Unoto ceremony of the Masai,Maasai,"The Day of the White Dance, Part 1"
263,Ritual258,L. C. Hamilton,,The E-Unoto ceremony of the Masai,Maasai,"The Day of the White Dance, Part 2"
264,Ritual259a,L. C. Hamilton,,The E-Unoto ceremony of the Masai,Maasai,The Day of the Sacred Hut
265,Ritual259b,P. Spencer,1988,The Maasai of Matapato: a study of rituals of rebellion,Maasai,
266,Ritual260a,G. W. B. Huntingford,1953,The southern Nilo-Hamites,Maasai,Circumcision (E-murrata)
267,Ritual260b,P. Spencer,1988,The Maasai of Matapato: a study of rituals of rebellion,Maasai,Circumcision (E-murrata)
268,Ritual261,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,Ordination of Buddhist Priest
269,Ritual262,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,"Chanting, Part 1"
270,Ritual263,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,"Chanting, Part 2"
271,Ritual264,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,Meditation
272,Ritual265,R. L. Sharp,1978,Bang Chan: social history of a rural community in Thai,Central Thai,Funeral
273,Ritual266,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Lenten Period?
274,Ritual267,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Kathin Ceremony
275,Ritual268,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Phapa Ceremony
276,Ritual269,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Makhabucha Ceremony
277,Ritual270,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Rice Pagoda Ritual (Khawphrasajkhawphlyag)
278,Ritual271,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Wissakhabucha Ceremony
279,Ritual272,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Wiantian 
280,Ritual273,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Special Ritual of the Wat Artist
281,Ritual274,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Housewarming Ritual
282,Ritual275,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Floating Leafcup (Lojkrathong)
283,Ritual276,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Thamkhwanjung
284,Ritual277,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Rain-Making Ritual
285,Ritual278,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,Wâajkhruu Ceremony
286,Ritual279,B. J. Terwiel,1975,Monks and magic: an analysis of religious ceremonies in central Thailand,Central Thai,Jóg khruu
287,Ritual280,T. Ayabe,1973,"Education and culture in a Thai rural community: a report of field research in Tambon Bang Khem: a report of field research in Tambon Bang Khem, Thailand",Central Thai,The Rite of Topknot Cutting
288,Ritual281,H. K. Kaufman,1960,Bangkhuad: a community study in Thailand,Central Thai,Wajkhru
289,Ritual282,S. Banerjee,1962,The Khasi festival of 'pomblang',Khasi,"Pomblang Festival, Day 1 and 2"
290,Ritual283,S. Banerjee,1962,The Khasi festival of 'pomblang',Khasi,"Pomblang Festival, Day 3"
291,Ritual284,C. Becker,1909,The Nongkrem Puja in the Khasi Mountains (Assam),Khasi,Nongkrem Puja
292,Ritual285,C. Becker,1909,The Nongkrem Puja in the Khasi Mountains (Assam),Khasi,The Rooster Sacrifice
293,Ritual286,P. R. T. Gurdon,1907,The Khasis,Khasi,Naming of the Child Ceremony
294,Ritual287,P. R. T. Gurdon,1907,The Khasis,Khasi,Death Ceremonies
295,Ritual288,P. R. T. Gurdon,1907,The Khasis,Khasi,Disposal of the Dead
296,Ritual289,P. R. T. Gurdon,1907,The Khasis,Khasi,
297,Ritual290,P. R. T. Gurdon,1907,The Khasis,Khasi,
298,Ritual291,P. R. T. Gurdon,1907,The Khasis,Khasi,
299,Ritual292,W. Fenton,1951,The Feast of the Dead or Ghost Dance at Six Nations Reserve,Iroquois,
300,Ritual293,D. P. St. John,1994,The dream-vision experience of the Iroquois: its religious meaning,Iroquois,The Rite of Confession
301,Ritual294,A. Shimony,1961,Conservatism among the Iroquois at the Six Nations Reserve,Iroquois,False Face Ceremony
302,Ritual295,A. Shimony,1961,Conservatism among the Iroquois at the Six Nations Reserve,Iroquois,Thanksgiving Address
303,Ritual296,A. Shimony,1961,Conservatism among the Iroquois at the Six Nations Reserve,Iroquois,Funeral
304,Ritual297,A. Shimony,1961,Conservatism among the Iroquois at the Six Nations Reserve,Iroquois,The Tenth-Day Feast
305,Ritual298,D. P. St. John,1994,The dream-vision experience of the Iroquois: its religious meaning,Iroquois,Small Dead Feast
306,Ritual299,D. P. St. John,1994,The dream-vision experience of the Iroquois: its religious meaning,Iroquois,Six Nations Convention
307,Ritual300,G. Reichel-Dolmatoff,1974,Funerary customs and religious symbolism among the Kogi,Kogi,Funeral
308,Ritual301,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 2",Kogi,"The Gaulí Ceremony, Baptism"
309,Ritual302,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 3",Kogi,Initiation
310,Ritual303,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 4",Kogi,Annual Ceremonies of the Dances of the Masks
311,Ritual304,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 5",Kogi,First Planting of the Year
312,Ritual305,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 6",Kogi,First Harvest
313,Ritual306,G. Reichel-Dolmatoff,1951,"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 7",Kogi,"Sahumar, Smoking"
314,Ritual307,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Birth Ceremony
315,Ritual308,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,First Hair-Cutting Ceremony
316,Ritual309,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Girls' Initiation
317,Ritual310,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Ceremonial Collection of Bride Price
318,Ritual311,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Prior to Burial
319,Ritual312,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Pre-Juwo Ritual
320,Ritual313,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,"Juwo, The Pig Feast"
321,Ritual314,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,"Tapa, Fund-Raising Ceremony"
322,Ritual315,L. Pospisil,1978,The Kapauku Papuans of West New Guinea,Kapauku,Healing Ritual
323,Ritual316,A. Pilz,1988,Manang Jabing Anak Incham: a study of an Iban healer/Sarawak,Iban,"Besudi, Healing Ritual"
324,Ritual317,J. Perham,1887,Manangism in Borneo,Iban,"Pelians, Healing Ritual"
325,Ritual318,W. Howell,1908-1910,The Sea Dyak,Iban,Mandi Rumah
326,Ritual319,W. Howell,1908-1910,The Sea Dyak,Iban,Nyabak Nerengka
327,Ritual320,W. Howell,1908-1910,The Sea Dyak,Iban,Ngambi Sabayan Ngabang
328,Ritual321,W. Howell,1908-1910,The Sea Dyak,Iban,
329,Ritual322,W. Howell,1908-1910,The Sea Dyak,Iban,"Nyinklan Benih, The Ceremony of Touching the Paddi Seeds with Blood"
330,Ritual323a,-. Benedict Sandin,1980,Iban adat and augury,Iban,Bathing Ceremony
331,Ritual323b,W. Howell,1908-1910,The Sea Dyak,Iban,Nganjong Mandi
332,Ritual324,J. Davison,1991,The children of NISING: images of headhunting and male sexuality in Iban ritual and oral literature,Iban,Timang Gawai Amat
333,Ritual325,J. Davison,1991,The children of NISING: images of headhunting and male sexuality in Iban ritual and oral literature,Iban,"Gawai, Festival"
334,Ritual326,E. Jensen,1974,The Iban and their religion,Iban,The Rites of Manggol
335,Ritual327,E. Jensen,1974,The Iban and their religion,Iban,Ngintu Jalai Umai
336,Ritual328,E. Jensen,1974,The Iban and their religion,Iban,Basoh Arang
337,Ritual329,E. Jensen,1974,The Iban and their religion,Iban,"Nunu Lilin, Burning Wax Ceremony"
338,Ritual330,E. Jensen,1974,The Iban and their religion,Iban,The Rice Harvest
339,Ritual331,E. Jensen,1974,The Iban and their religion,Iban,Nganjong Ka Penyedai
340,Ritual332,E. Gomes,1911,Seventeen years among the Sea Dyaks of Borneo: a record of intimate association with the natives of the Bornean jungles,Iban,Piring
341,Ritual333,A. Silva,1962,The indigenous civilization of the Uaupés,Tukano,Elegy-Weeping
